jp,en,file
お前、１年か？,"Hey you, are you a first year?",romfs\story\spt\npc_m_3d2_000_s01_t011.spt
ゴウカな食事だなー！　とか。,It's a fancy meal!　And.,romfs\story\spt\npc_m_3d2_000_s01_t011.spt
広すぎて迷っちゃうよー！　とかさ。,"It's too big, I'm going to get lost!　And so on.",romfs\story\spt\npc_m_3d2_000_s01_t011.spt
そんなノドカなこと言ってられるのも今だけだぜ。,It's the only time you can say such carefree things for now.,romfs\story\spt\npc_m_3d2_000_s01_t011.spt
来月からはお前らもソウジ当番回るんだからな。,"Starting next month, you guys will be on cleaning duty too.",romfs\story\spt\npc_m_3d2_000_s01_t011.spt
便所もだぞ！,"And the toilet, too!",romfs\story\spt\npc_m_3d2_000_s01_t011.spt
覚悟しとけよ！,Be prepared!,romfs\story\spt\npc_m_3d2_000_s01_t011.spt
オーロラクイーン,Auroraqueen,romfs\story\spt\npc_f_3e2_meda_000_s00_t001.spt
うっかりよそ見してるとぶつかっちゃうヨ！,"If you look away, you'll bump into it!",romfs\story\spt\npc_f_3e2_meda_150_s01_t011.spt
この道をまーっすぐ歩くとゴミ箱があるヨ！,"Walk straight down this road and you'll find a trash can!",romfs\story\spt\npc_f_3e2_meda_150_s01_t011.spt
なんにもないんだからね。,There's nothing there.,romfs\story\spt\npc_f_3e2_150_s01_t011.spt
行くだけムダよ。,Going there is pointless.,romfs\story\spt\npc_f_3e2_150_s01_t011.spt
ノワールカッツェ,Noire Katze,romfs\story\spt\npc_f_2d_meda_000_s00_t001.spt
リュウセイ,Ryusei,romfs\story\spt\bt0011.spt
手かげん無用な！,Don't hold back!,romfs\story\spt\bt0011.spt
スピネル,Supineru,romfs\story\spt\npc_ten_meda_000_s00_t001.spt
サイカ,Saika,romfs\story\spt\bt0509.spt
アヤ,Aya,romfs\story\spt\bt0384.spt
マゼンタキャット,Magentacat,romfs\story\spt\npc_f_1a_meda_000_s00_t001.spt
イチル,Ichiru,romfs\story\spt\bt0381.spt
ナビ・コミュン,Navi Commu,romfs\story\spt\f11_250_953_00_t013.spt
マスミ,Masumi,romfs\story\spt\bt0387.spt
ホークダカー,Hawkdacker,romfs\story\spt\f05_180_210_00_t012.spt
プリティプライン,Pretty Prime,romfs\story\spt\f05_180_210_00_t012.spt
レッドマタドール,Red Matador,romfs\story\spt\f05_180_210_00_t012.spt
ア・ゲダマー,Agadama,romfs\story\spt\npc_m_1d_meda_000_s00_t001.spt
カメキチ,Kamekichi,romfs\story\spt\bt0312.spt
ハナ,Hana,romfs\story\spt\bt0390.spt
リリーマドンナ,Lily Madonna,romfs\story\spt\npc_f_1d_meda_000_s00_t001.spt
いや、強い弱い以前に,"No, forget about who's stronger or weaker.",romfs\story\spt\npc_rival_117_s01_t001.spt
お前らぜんぜんロボトルわかってないし！,You guys don't even understand Robattles at all!,romfs\story\spt\npc_rival_117_s01_t001.spt
お前みたいのが来んの楽しみにしてたなんてよ～,I can't believe I was looking forward to having someone like you here!,romfs\story\spt\npc_rival_117_s01_t001.spt
ま、いっか。,Oh well.,romfs\story\spt\npc_rival_117_s01_t001.spt
オレ…　自分にムカついてきた！,I...I'm pissed off with myself!,romfs\story\spt\npc_rival_117_s01_t001.spt
汗かいて忘れよっと！,I'll sweat it out and forget about it!,romfs\story\spt\npc_rival_117_s01_t001.spt
あばよ！,Bye!,romfs\story\spt\free06_02_01_02_t031.spt
弱すぎて！,Too weak!,romfs\story\spt\npc_rival_117_s01_t001.spt
ジャスパー,Jasper,romfs\story\spt\f05_180_210_00_t012.spt
おまえのロボトル、つまんねーな。,That was a boring robattle.,romfs\story\spt\npc_rival_meda_117_s01_t001.spt
野良とやってるみてーでよ！,Feels like I was just robattling a nobody!,romfs\story\spt\npc_rival_meda_117_s01_t001.spt
ミオ,Mio,romfs\story\spt\f01_055_150_00.spt
セイテイキング,Seitei King,romfs\story\spt\f10_020_101_00_t012.spt
※ロボトル後,※After robattle,romfs\story\spt\free06_01_02_03_t031.spt
※ロボトル,※Robattle,romfs\story\spt\free06_02_05_02_t021.spt
新ロボトル試作,New robattle prototype,romfs\story\spt\june_rom.spt
さってとロボトルだロボトル！,"Let's see...Robattle, Robattle, Robattle!",romfs\story\spt\npc_f_2b_meda_163_s04_t011.spt
ぼくはロボトルちょっと苦手さ。,I'm not a fan of robattles.,romfs\story\spt\npc_m_1c_meda_117_s04_t011.spt
だいじょぶ、うちはロボトルの強さ関係ないから。,"Don't worry, we don't care about how strong you are at robattling.",romfs\story\spt\npc_m_1e_164_s01_t001.spt
ジョウロで水まくほうが得意さあ。,I'm better at watering plants.,romfs\story\spt\npc_m_1c_meda_117_s04_t011.spt
シンタロウ,Shintaro,romfs\story\spt\bt0306.spt
…シンタロウくん。,...Shintaro.,romfs\story\spt\f05_100_117_00_t011.spt
サムライ,Samurai,romfs\story\spt\f05_180_210_00_t012.spt
バストロイヤー,Bustroyer.,romfs\story\spt\f05_035_230_00_t021.spt
ヒールエンジェル,Heal Angel,romfs\story\spt\f11_050_108_00_t014.spt
わたしたちは保険医よ。,We are school nurses.,romfs\story\spt\npc_teach_fb_meda_000_s01_t011.spt
わたしはメダロットの病気を治すのよ。,I treat medabots.,romfs\story\spt\npc_teach_fb_meda_000_s01_t011.spt
マスターはニンゲンの。,Our master is human.,romfs\story\spt\npc_teach_fb_meda_000_s01_t011.spt
メダロットはニンゲンとちがって,Medabots are different from humans.,romfs\story\spt\npc_teach_fc_meda_130_s01_t001.spt
5メダロット集会,5 Medabot Rally,romfs\story\spt\rom_menu.spt
5マイン情報Ａ,5 Mine Information A,romfs\story\spt\rom_menu.spt
5マイン情報Ｂ,5 Mine Information B,romfs\story\spt\rom_menu.spt
