file_rel,part_index,kind,speaker,jp,en
bt0000.spt,859,label,,セレクト隊,Select Corps
bt0000.spt,872,dialogue,セレクト隊,残念であります！,It's a shame!
bt0000.spt,875,dialogue,セレクト隊,今は忙しくて無理不可能であります！,I'm too busy right now-it's impossible!
bt0001.spt,859,label,,野良メダロット,Stray Medabot
bt0001.spt,872,dialogue,野良メダロット,ろぼとる・・するわん,"I will...battle, woof!"
bt0002.spt,859,label,,探検部長：クニギク,Exploration Club President: Kunigiku
bt0002.spt,882,label,,くん、わかってるね…。,"-kun, you know, don't you..."
bt0004.spt,859,label,,ローレル,Laurel
bt0004.spt,878,dialogue,ローレル,それでは、テスト開始です。,"Alright, let's begin the test."
bt0007.spt,859,label,,ともだち,Friend
bt0007.spt,869,dialogue,ともだち,勝負だ！,Let's settle this!
bt0009.spt,859,label,,ロボロボ団,Rubberobo Gang
bt0009.spt,872,dialogue,ロボロボ団,ロボトルだったら負けないロボ！,I won't lose robattles!
bt0009.spt,875,dialogue,ロボロボ団,行くロボよー！,"Let's go, robo!"
bt0011.spt,859,label,,リュウセイ,Ryusei
bt0011.spt,872,dialogue,リュウセイ,手かげん無用な！,No holding back!
bt0011.spt,875,dialogue,リュウセイ,いっくぜ～！,Let's go!
bt0012.spt,859,label,,ガラクタ？,Junk?
bt0012.spt,881,dialogue,ガラクタ？,・・・。,・・・.
bt0013 - コピー (2).spt,859,label,,ガラクタ？,Junk?
bt0013 - コピー (2).spt,878,dialogue,ガラクタ？,ガ・・・ガガ・・・。,Ga...Gagaga...
bt0013.spt,859,label,,ガラクタ？,Junk?
bt0013.spt,881,dialogue,ガラクタ？,ガ・・・ガガ・・・。,Ga...Gagaga...
bt0014.spt,859,label,,ガラクタ？,Junk?
bt0014.spt,872,dialogue,ガラクタ？,・・・ガ・・・,...Rah...
bt0015.spt,859,label,,ガラクタ？,Junk?
bt0015.spt,872,dialogue,ガラクタ？,・・・ガ・・・,...Tah...
bt0016.spt,826,label,,野良メダロット？,Stray Medabot?
bt0016.spt,833,dialogue,野良メダロット？,・・・ガ・・・,...Gah...
bt0017.spt,859,label,,野良メダロット？,Stray Medabot?
bt0017.spt,872,dialogue,野良メダロット？,・・・ガ・・・,...Gah...
bt0018.spt,859,label,,ブライトネス,Brightness
bt0018.spt,872,dialogue,ブライトネス,オトコノコは入ってきちゃダメです！,Boys aren't allowed in here!
bt0021.spt,859,label,,リョウマ,Ryoma
bt0021.spt,872,dialogue,リョウマ,いくぞ！,Let's go!
bt0022.spt,859,label,,野良メダロット,Stray Medabot
bt0022.spt,872,dialogue,野良メダロット,アソブニャ・・,Wanna play...nya...
bt0023.spt,859,label,,野良メダロット,Stray Medabot
bt0023.spt,872,dialogue,野良メダロット,ろぼとる・・するわん,"I will...battle, woof!"
bt0024.spt,859,label,,野良メダロット,Stray Medabot
bt0024.spt,872,dialogue,野良メダロット,ギ・・・ギ・・・ギ・・・,G...G...G...
bt0025.spt,859,label,,野良メダロット,Stray Medabot
bt0025.spt,872,dialogue,野良メダロット,ギ・・・ギ・・・ギ・・・,G...G...G...
bt0027.spt,859,label,,野良メダロット？,Stray Medabot?
bt0027.spt,881,dialogue,野良メダロット？,ケ・・・ケケケ・・・。,Heh...heh heh heh...
bt0028.spt,859,label,,野良メダロット,Stray Medabot
bt0028.spt,884,dialogue,野良メダロット,"ヤイヤイ・・・
ソノぱーつ、オイテケ・・・。","Hey, hey...
Leave that part behind..."
bt0029.spt,859,label,,野良メダロット,Stray Medabot
bt0029.spt,881,dialogue,野良メダロット,クラヤミ・・・スキ・・・。,Darkness...I like it...
bt0030.spt,877,dialogue,,言ったはずだぞ。,I told you.
bt0030.spt,880,dialogue,,それ以上、近づくなと――,Don't come any closer-
