jp,en,file
※間で、出撃メンバーに応じたテキスト出したい,※During this sequence, I want to display text that corresponds to the chosen party members.
※頭vsアイドル部到着、時間稼ぎ開始,"※""The leader vs. the idol club"," they are now stalling for time."""
表示ガーデン名：,Display Garden Name:,romfs\story\spt\areaname_disp.spt
セレクト隊,select team,romfs\story\spt\bt0000.spt
今は忙しくて無理不可能であります！,It is impossible to do so now because I am too busy!,romfs\story\spt\bt0000.spt
残念であります！,It is unfortunate!,romfs\story\spt\bt0000.spt
ろぼとる・・するわん,ROBOTORU... do...,romfs\story\spt\bt0001.spt
くん、わかってるね…。,"Kun, you know what I mean....",romfs\story\spt\bt0002.spt
できるだけ多くのターゲットを破壊せよ！,Destroy as many targets as possible!,romfs\story\spt\bt0002.spt
ターゲット破壊アトラクション,Target Destruction Attraction,romfs\story\spt\bt0002.spt
探検部長：クニギク,Director of Exploration: Kunigiku,romfs\story\spt\bt0002.spt
それでは、テスト開始です。,"Now, let the testing begin.",romfs\story\spt\bt0004.spt
ロボトルに勝利せよ！,Win the robattle!,romfs\story\spt\bt0004.spt
ローレル,laurel,romfs\story\spt\bt0004.spt
ともだち,friend,romfs\story\spt\bt0007.spt
勝負だ！,The game!,romfs\story\spt\bt0007.spt
ロボトルだったら負けないロボ！,"If it were a Robotl, it would be a Robot that can't be beaten!",romfs\story\spt\bt0009.spt
ロボロボ団,Rubberobo,romfs\story\spt\bt0009.spt
行くロボよー！,I'm going Lobo!,romfs\story\spt\bt0009.spt
いっくぜ～！,Let's go!,romfs\story\spt\bt0011.spt
すべて破壊せよ！,Destroy them all!,romfs\story\spt\bt0012.spt
ガラクタ？,Rumble?,romfs\story\spt\bt0012.spt
・・・。,...,romfs\story\spt\bt0012.spt
ガ・・・ガガ・・・。,Ga...ga...,romfs\story\spt\bt0013 - コピー (2).spt
・・・ガ・・・,Moth...,romfs\story\spt\bt0014.spt
オトコノコは入ってきちゃダメです！,No wimps are allowed to come in!,romfs\story\spt\bt0018.spt
ブライトネス,brightness,romfs\story\spt\bt0018.spt
いくぞ！,Here we go!,romfs\story\spt\bt0021.spt
アソブニャ・・,Asobnya...,romfs\story\spt\bt0022.spt
ギ・・・ギ・・・ギ・・・,Guy... Guy... Guy...,romfs\story\spt\bt0024.spt
ケ・・・ケケケ・・・。,Ke...ke ke ke...,romfs\story\spt\bt0027.spt
一本橋ロボトル,One Bridge Lobotolu,romfs\story\spt\bt0028.spt
１対１で勝負だ！,It's a one-on-one match!,romfs\story\spt\bt0028.spt
クラヤミ・・・スキ・・・。,Kurayami...suki...,romfs\story\spt\bt0029.spt
暗闇バトル,Battle in the Dark,romfs\story\spt\bt0029.spt
それ以上、近づくなと――,I told him not to come any closer--,romfs\story\spt\bt0030.spt
言ったはずだぞ。,I told you.,romfs\story\spt\bt0030.spt
近づくことはならぬと――,I told you to stay away from--,romfs\story\spt\bt0030.spt
おサンポ同好会には,The Osampo Club has a,romfs\story\spt\bt0031.spt
まけないぜ！,I'm not going to lose!,romfs\story\spt\bt0031.spt
タイマンロボトル,Timanrobotl,romfs\story\spt\bt0031.spt
